user_id,name,review_count,yelping_since
JJ-aSuM4pCFPdkfoZ34q0Q,Chris,10,9/24/13
uUzsFQn_6cXDh6rPNGbIFA,Tiffy,1,3/2/17
mBneaEEH5EMyxaVyqS-72A,Mark,6,3/13/15
W5mJGs-dcDWRGEhAzUYtoA,Evelyn,3,9/8/16
4E8--zUZO1Rr1IBK4_83fg,Lisa,11,7/16/12
Ob-2oGBQ7rwwYwUvhmnf7g,B,9,5/1/12
JaTVvKsBl0bHHJEpESn4pQ,Peter,2,3/23/13
Ykj0DVsz0c6rX9ghjd0hDg,Colleen,1,10/10/10
kmyEPfKnHQJdTceCdoyMQg,A,7,10/16/12
H54pA7YHfjl8IjhHAfdXJA,Chad,3,6/25/10
WRae-wZkpRoxMrgJdqwyxg,Mike,1,11/29/17
Mmv5fPxbF8XEMN4EPT_Khg,Chris,2,6/24/16
LdqGHXsNQowMrvgTNburJA,Susan,1,9/29/13
TsgBsn19Wjwpyo81gF9_8Q,Cathy,4,11/28/10
V--GjQPlTpeWbcB2cS06Gw,Cody,2,10/24/17
a_gKYQ5YMg39FHNYJLWRHg,Joselyn,1,11/7/17
sz8Heh56kO_6_LBkoIhNfA,Rosalie,4,6/25/15
h5ERTYn2vQ1QbjTZvfWPaA,Bobby,3,1/7/17
jYnkJR3T8yCERXywoVhWYA,Hugo,48,7/6/10
GMGZsk1dj043UI3zWgo3cw,volk,0,8/5/11
